,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,CU-Chimera.4886,0.2578644102729979,0.19216189,0.22021696109362696,0.5935214757919312,0.5747714042663574,0.5840466618537903,0.5935214805945184,0.5747713894427547,0.5840466826974403,0.35859629174213203,0.2050748161899819,0.6961726054823113,0.050
1,limsi-factored-norm.4957,0.2587642037531277,0.19490138,0.22233778256026313,0.5904713869094849,0.5817322731018066,0.5860300660133362,0.5904713430204824,0.5817322333507587,0.5860300822434529,0.35642494840026384,0.20222002861897803,0.6964281910928415,0.111
2,LIUM-FNMT.4852,0.2571563706213142,0.19319282,0.22063219452460084,0.5860408544540405,0.5779610276222229,0.5819573402404785,0.5860408525771389,0.5779610430017523,0.5819572840045562,0.3542270210333341,0.19953695570577787,0.699495218419203,0.102
3,LIUM-NMT.4947,0.2590430603714021,0.19467649,0.22229411762943363,0.5880363583564758,0.5801895260810852,0.5840662121772766,0.5880363493770385,0.5801895419671859,0.5840662028702494,0.35072328228801075,0.2020485155874977,0.7010500308832612,0.090
4,online-A.0,0.24783718777535677,0.1819403,0.20983682905483875,0.5593937039375305,0.548755407333374,0.5540814399719238,0.5593936454709278,0.5487554302186505,0.5540814199785123,0.3272750446077461,0.16552330294328463,0.7431364614172221,0.029
5,online-B.0,0.26376255565423223,0.1964155,0.2251609064800075,0.5906495451927185,0.5792925953865051,0.5849303007125854,0.5906495579894936,0.5792925497605318,0.5849303553955933,0.34816240560368,0.20116690702308584,0.7029669229622371,0.240
6,PJATK.4761,0.23169950824205438,0.16247123,0.1910060849057455,0.5271917581558228,0.4975736141204834,0.5120484232902527,0.5271917428957692,0.4975736269136556,0.5120484225949374,0.30955299389110996,0.16179777642757487,0.756639901173564,-0.327
7,tuning-task-afrl_4gb.sgm.0,0.23335897977928544,0.160362,0.19009357063084348,0.5268648266792297,0.5020502805709839,0.5142420530319214,0.5268648187482664,0.5020502630596401,0.5142420130944152,0.2968649089279231,0.1418204196707991,0.7915912334135587,-0.315
8,tuning-task-afrl_8gb.sgm.0,0.2329515414497016,0.16127808,0.19059946707988668,0.5279126167297363,0.5056064128875732,0.5165759325027466,0.5279126612032561,0.5056064091144069,0.516575915645963,0.3010355271146862,0.14692375847126835,0.783135609465187,-0.376
9,tuning-task-baseline_8gb.sgm.0,0.23605493331958857,0.16148923,0.19177909480128877,0.5262652039527893,0.5022303462028503,0.5140863060951233,0.5262651908181967,0.5022303606495075,0.5140862959754745,0.2956593968579258,0.13793251860387443,0.7892909629187876,-0.373
10,tuning-task-denisov_4gb.sgm.0,0.21844551906628742,0.1538281,0.18052882261712794,0.478444904088974,0.4789029061794281,0.4783664643764496,0.47844490027044734,0.478902932412662,0.4783664807836686,0.2853240886461157,0.12637762024623186,0.8477987689293093,-0.493
11,tuning-task-ufal_4gb.sgm.0,0.22993574408201645,0.15466766,0.18493660322150565,0.5131680965423584,0.4872359037399292,0.5000709891319275,0.5131681056655811,0.4872359139171973,0.500070993865634,0.2854983474959758,0.13064222874821957,0.7990884113224426,-0.486
12,tuning-task-ufal_8gb.sgm.0,0.2420229227164706,0.16907854,0.19907923794745197,0.5475466251373291,0.5230989456176758,0.5351788997650146,0.5475466310147339,0.5230989190061792,0.535178946070497,0.31295314841335414,0.15254586942217205,0.7622840834061041,-0.236
13,uedin-nmt.4956,0.2654330466049186,0.20412081,0.2307739929377746,0.6116769313812256,0.6011962294578552,0.6063360571861267,0.6116768976713775,0.6011963061201145,0.6063360655447856,0.3743080855390442,0.22798268525238907,0.667206236288897,0.308
