,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,C-3MA.5069,0.20809803693379256,0.15132578,0.17522821767079894,0.4705463647842407,0.4550567865371704,0.46279406547546387,0.4705463809210566,0.4550568010259619,0.4627940635741881,0.28465330351434626,0.1363617450020318,0.8433168467973376
1,HY-HNMT.5066,0.21522246884243787,0.16484642,0.18669590997255164,0.49771761894226074,0.48862969875335693,0.4930713474750519,0.49771764537197133,0.4886296983747308,0.49307133229975325,0.3177527506896774,0.1675536798257536,0.7861635220125787
2,jhu-pbmt.4969,0.21422845997159723,0.16354416,0.1854862531558985,0.4897225797176361,0.48201578855514526,0.48596611618995667,0.4897226065207368,0.482015792714215,0.48596610810266977,0.3016735560315449,0.143464018174976,0.81467912316053
3,KIT.5062,0.22895427873628482,0.18401167,0.20403744693600967,0.5393812656402588,0.537805438041687,0.5385961532592773,0.5393812636742885,0.5378054282043887,0.5385961445641407,0.34666841397343834,0.18314714229596812,0.7729132319716676
4,limsi-factored-norm.5041,0.2227690172762966,0.17619231,0.19676186885223818,0.519904375076294,0.5180214047431946,0.5189840197563171,0.5199043626854217,0.5180214520404535,0.5189840357802084,0.33616524867100106,0.1662817536739551,0.7804237650363315
5,LIUM-FNMT.5043,0.22150608763232052,0.17115222,0.1931005039341161,0.5141667723655701,0.5058162808418274,0.510042667388916,0.5141667871992441,0.5058162940679112,0.510042685491295,0.3162792329781123,0.16193349636375334,0.7804237650363315
6,LIUM-NMT.5042,0.22126276561354974,0.1696791,0.19206777731688635,0.5183039903640747,0.5043124556541443,0.511287271976471,0.518304052017536,0.5043125163434704,0.5112872585386172,0.32268077353713437,0.17007495702354697,0.7686694754839104
7,online-A.0,0.2163737460102934,0.16131115,0.18482866599908862,0.47678083181381226,0.4680885374546051,0.47253233194351196,0.4767808420355546,0.46808855940002775,0.4725323347379451,0.2776311304865287,0.1084319499077907,0.8459730109299628
8,online-B.0,0.24078250510954222,0.19046156,0.21268611164736584,0.5423903465270996,0.5350019931793213,0.5386793613433838,0.542390352312144,0.5350019739520016,0.5386793820316839,0.337451724407005,0.17913148680024768,0.7541368993100079
9,PJATK.4744,0.14800182476477752,0.09200838,0.1134735778173208,0.35985589027404785,0.3135533928871155,0.33641743659973145,0.35985589180010086,0.3135533899631914,0.3364174501032106,0.22738607929510016,0.10148120596662163,0.8677718751908166
10,QT21-System-Combination.5063,0.2248267392460392,0.17750396,0.1983822581615112,0.5380269885063171,0.527562141418457,0.5326586961746216,0.5380270079242736,0.5275621899691731,0.5326587317544252,0.3446007269107291,0.18632000372404556,0.7739207425047322
11,tilde-c-nmt-smt-hybrid.5049,0.23554636030387935,0.19046903,0.21062284293449252,0.5506203174591064,0.546367347240448,0.5484887957572937,0.5506202719143607,0.546367293826934,0.5484887485828498,0.35860457387906536,0.20142739012516686,0.730719912071808
12,tilde-nc-nmt-smt-hybrid.5047,0.2447441168313285,0.19969009,0.21993345148108434,0.5639646053314209,0.5596427917480469,0.5617411136627197,0.5639646415834197,0.559642810445709,0.5617411217621078,0.3640981017110154,0.2078687746268743,0.7209501129633022
13,tilde-nc-smt.5044,0.23379195558407662,0.18944736,0.20929657013359612,0.5371692180633545,0.5294035077095032,0.5332483649253845,0.5371691954705207,0.5294034978368323,0.5332483475928245,0.3538154688832057,0.21049916103926175,0.7474201624229102
14,uedin-nmt.5016,0.22383374747528656,0.17584242,0.19695679124642343,0.526139497756958,0.5190876126289368,0.5224630236625671,0.5261395803138638,0.5190876380989918,0.5224630842488007,0.33789124886300564,0.1693435800794208,0.7724858032606704
15,usfd-consensus-kit.5078,0.2267560208808839,0.17823601,0.19958954759752628,0.5244724154472351,0.5214243531227112,0.5229774117469788,0.5244724868653879,0.5214244014155799,0.5229773921040313,0.33799946656201746,0.1747590633213248,0.9494412896134823
16,usfd-consensus-qt21.5077,0.22775824822064114,0.17907883,0.20050621286467332,0.5319244861602783,0.5264555215835571,0.5292271971702576,0.5319244674267782,0.5264555167966243,0.5292272617326476,0.34474873919186433,0.17989926108468013,0.9460829211699334
