,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,afrl-mitll-m2w-nr1.4901,0.22247511917572413,0.12234497,0.15787196127285608,0.47578224539756775,0.4311138689517975,0.45363837480545044,0.47578222544707105,0.4311138769548113,0.45363839461827743,0.38671035451101704,0.17537494666988912,0.7543563047153546
1,afrl-mitll-syscomb.4902,0.21174899206824163,0.122059345,0.15485498975978718,0.46329987049102783,0.43314820528030396,0.4484364092350006,0.46329989506248115,0.43314823927547497,0.448436398398968,0.390633929883602,0.18051657231551588,0.7643829196029528
2,JAIST.4859,0.013570502808386864,0.08065983,0.023232316285394496,0.18067355453968048,0.3302118182182312,0.2537355124950409,0.1806735567417961,0.3302118314919165,0.25373548846500404,0.3381780184123144,0.12419790729406267,0.8608158551078824
3,jhu-pbmt.4972,0.007471881768951184,0.08893988,0.01378562651157217,0.17357920110225677,0.34943902492523193,0.2592923939228058,0.1735791942826302,0.34943905489667015,0.259292432478404,0.3428463933844487,0.12644900704675746,0.8543378919000353
4,LIUM-NMT.4888,0.2206601608743518,0.13941684,0.17087313414756722,0.4748898446559906,0.4531180262565613,0.46435534954071045,0.47488983206248153,0.45311799418663723,0.46435534051641303,0.3799639465015952,0.17910236334227117,0.7332485227900437
5,online-A.0,0.2911690427504147,0.21057865,0.2444016579248031,0.5768300294876099,0.5574691891670227,0.5674931406974792,0.5768300885757995,0.557469239439549,0.5674930904011047,0.4441634041291578,0.22179271912456908,0.6732227448485965
6,online-B.0,0.3151776447885109,0.23920627,0.27198649410860376,0.6121320128440857,0.5947103500366211,0.6037544012069702,0.6121320460123478,0.5947103497727412,0.6037543868122176,0.45844955868182197,0.2562395361514701,0.6480641435530038
7,online-G.0,0.21266911525430432,0.14984754,0.17581505816894694,0.440947026014328,0.4476272761821747,0.44481033086776733,0.4409470351530276,0.4476273130154289,0.4448102870054783,0.4165501489563363,0.1637663125671211,0.7838000703034766
8,PROMT-SMT.4737,0.16742636025452853,0.1220407,0.14117550951330218,0.3724757730960846,0.39610594511032104,0.38466137647628784,0.3724757986683438,0.3961059271834842,0.3846613767410969,0.38629088375428194,0.13520787654412922,0.8054769756113892
9,uedin-nmt.4931,0.2501904273743587,0.16509041,0.19892100382509695,0.5256215929985046,0.49973028898239136,0.5129878520965576,0.5256215905223077,0.49973029770134536,0.5129878365296572,0.40834516267515636,0.20075895569527574,0.6957198573843759
