,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,JHU.5706,0.23557726754090094,0.16305013,0.192715826036474,0.7645077109336853,0.7521765828132629,0.7585415840148926,0.7645076862993023,0.7521766847789115,0.7585415230284857,0.5938132893251636,0.45285578947923777,0.4062905096540902,0.317
1,LMU-nmt.5756,0.2207705123910856,0.14642638,0.17607244270112848,0.7289281487464905,0.7134600281715393,0.7214117050170898,0.7289281246787294,0.7134600728700525,0.7214116654560725,0.5681357695925916,0.4089963498437673,0.4455550249027768,0.162
2,LMU-unsup.5650,0.09382189102627408,0.054410692,0.06887708396281535,0.3853823244571686,0.41401445865631104,0.40020298957824707,0.3853822861738075,0.414014405095463,0.40020299386689745,0.38546189381336177,0.17885793492217553,0.6844852289008665,-0.835
3,MLLP-UPV.5554,0.23369398627162896,0.16264458,0.19180096756233844,0.7618023753166199,0.7513608336448669,0.7567954659461975,0.7618023788878288,0.7513608323312533,0.7567954632373474,0.5940476532043758,0.4512907762657161,0.4075527051920584,0.321
4,NJUNMT-private.5406,0.22455101840165972,0.14522879,0.17638211561078096,0.7164913415908813,0.7028965950012207,0.7099029421806335,0.7164913687887313,0.7028965950043272,0.7099029895842691,0.5535415748704875,0.3826054958788931,0.4791737736235246,0.149
5,NTT.5666,0.2420617195280803,0.1698031,0.19959378957197338,0.7783143520355225,0.7666249871253967,0.7726517915725708,0.7783143843043896,0.7666250531529987,0.7726517776754238,0.6019184797332044,0.4684166672524408,0.3981032953537559,0.359
6,online-A.0,0.23141636785980554,0.15530898,0.185873720453799,0.7386059165000916,0.7281168699264526,0.7335843443870544,0.7386058951063881,0.7281168240636309,0.7335843240147615,0.5728878930283622,0.4057318565055498,0.4488640240158286,0.268
7,online-B.0,0.24277557754177898,0.1668058,0.19774519641843202,0.7737665772438049,0.7528916001319885,0.7635199427604675,0.7737665376125812,0.7528915303940074,0.7635200035082967,0.5853343995656203,0.4392721852212993,0.4146824043119329,0.346
8,online-F.0,0.18800562143877114,0.11368726,0.14169273130487503,0.5415747761726379,0.5807657837867737,0.5615620613098145,0.5415748220472644,0.5807657421437937,0.5615620805094115,0.4672499689075837,0.2197705574665316,0.637272293102272,-0.296
9,online-G.0,0.20232430295981285,0.13034739,0.1585493739960668,0.6315225958824158,0.6419164538383484,0.6370688080787659,0.6315225712163467,0.6419164130247985,0.6370688085124304,0.5452778083862936,0.3185243177809319,0.5375417889063246,-0.074
10,online-Y.0,0.2494376697493124,0.1592379,0.1943836853320486,0.7469266653060913,0.7382515072822571,0.7427929639816284,0.7469266282867956,0.738251504262759,0.7427929853069893,0.56775293186068,0.3947720594570933,0.4455209115098588,0.310
11,RWTH.5636,0.2444991172792119,0.17511775,0.20407251501614457,0.7936593294143677,0.7775734066963196,0.7857702374458313,0.7936593537294045,0.7775733998322423,0.7857702806582046,0.6072995689224685,0.4839342768421498,0.38149007300266086,0.413
12,RWTH-UNSUPER.5482,0.10114210658259641,0.07836861,0.0883107877830399,0.401233434677124,0.47645092010498047,0.43867671489715576,0.4012334360830924,0.4764509436477271,0.43867676262336047,0.40501787129280437,0.1858399535956889,0.6628573377908167,-0.752
13,Ubiqus-NMT.5635,0.23072306501344858,0.15808415,0.18761822710571738,0.7666018605232239,0.7429249882698059,0.7549360990524292,0.7666019137294526,0.7429249163349224,0.754936108109681,0.5838629677957796,0.4410219342007869,0.4116121989493075,0.315
14,UCAM.5690,0.24066309319104442,0.1722111,0.20076263465632763,0.7860679626464844,0.7729509472846985,0.779679536819458,0.7860679493234148,0.7729508990075208,0.7796795205365347,0.6062473795342739,0.4795783941828738,0.3855495667599099,0.395
15,uedin.5766,0.22995517558008097,0.15687938,0.18651500958028497,0.7552661299705505,0.7409080266952515,0.7483028769493103,0.7552661505851489,0.7409080273090918,0.7483028669116535,0.5854049210427524,0.438990509474493,0.41720679538786926,0.261
