,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,Aalto.5551,0.23085979081973151,0.17978907,0.20214869964924093,0.5961535573005676,0.5825046300888062,0.5894638299942017,0.5961535995937883,0.5825046958364546,0.5894638279527425,0.3716857883016813,0.2065931999710041,0.6851724476761325
1,CUNI-Kocmi.5616,0.23711810175254336,0.17492862,0.2013302870248284,0.5894845724105835,0.5681231021881104,0.5786484479904175,0.5894845605827868,0.5681231269943527,0.5786485012732446,0.3577811293725895,0.20225052946559674,0.701483737840228
2,HY-NMT-en-et.5469,0.23995902781228484,0.18262325,0.2074014937987883,0.6195170879364014,0.5961089134216309,0.6078048348426819,0.6195170693285763,0.5961088745626621,0.6078047963236458,0.37738752515436785,0.2181095195842363,0.6731518784186563
3,M4t1ss.5723,0.24383413231794418,0.19217561,0.21494461624030256,0.6312165260314941,0.6176746487617493,0.6245355010032654,0.6312165471538901,0.6176746205035597,0.6245354676619173,0.394182313353602,0.2357257155851874,0.6509121876125906
4,neurotolge.ee.5399,0.225922620805618,0.16059728,0.18773966500751796,0.5601829886436462,0.5333532691001892,0.54670250415802,0.5601829754821956,0.533353210031055,0.5467025485727937,0.32042098697848975,0.15533814198368406,0.7720022272444402
5,NICT.5500,0.2450650769702618,0.19429478,0.21674654398934878,0.639151394367218,0.6227885484695435,0.631010890007019,0.6391513338238001,0.6227886350839399,0.6310108741223812,0.4063183346656727,0.25156367813324737,0.6455078444859323
6,online-A.0,0.22131431582784106,0.15901108,0.18505957727877423,0.5532450079917908,0.5303536653518677,0.541973352432251,0.5532449720315635,0.5303536387570202,0.5419733243174851,0.3117584025331894,0.13548900932714886,0.7841210572860371
7,online-B.0,0.23915997579350867,0.17807533,0.20414615355420632,0.5937725901603699,0.5762233734130859,0.5850954651832581,0.5937725889608264,0.5762233403418213,0.5850954614318907,0.3409617919982139,0.18705783542188928,0.7161901018636795
8,online-G.0,0.21350291217116088,0.15275109,0.17808844205275398,0.5239172577857971,0.5111701488494873,0.5177658796310425,0.5239172337204218,0.5111702207550406,0.5177658838964999,0.2982461396067713,0.12269441527645825,0.8234908781238741
9,parfda.5779,0.20259423475892185,0.14122728,0.16643421606558398,0.5116798281669617,0.48276591300964355,0.49726787209510803,0.5116798596158624,0.48276590239070355,0.4972678739540279,0.28780390272012685,0.12871892670764853,0.8033146637843503
10,talp-upc.5422,0.23174255038486063,0.17250346,0.1977824902416895,0.5955862998962402,0.5704147815704346,0.5830093026161194,0.595586242956575,0.570414791347459,0.5830093093253672,0.3512077350764226,0.18887610972586968,0.7138318430447742
11,tilde-c-nmt.5565,0.24151569047087743,0.1907137,0.21312919687283252,0.6308023929595947,0.6166412234306335,0.6238226890563965,0.6308023973312229,0.616641249300912,0.6238226975705474,0.39165815821745437,0.23543647188153585,0.6530739248632539
12,tilde-nc-nmt.5449,0.24659061522238926,0.19666035,0.21881327352045535,0.6376600861549377,0.6257907748222351,0.6318049430847168,0.6376600789353252,0.6257907332628966,0.6318049335926771,0.4017171156896219,0.24349512772824916,0.6530084176738398
13,uedin.5563,0.23710637019820244,0.1836804,0.20700172172121328,0.6187582015991211,0.6009028553962708,0.6098837852478027,0.6187581629157066,0.6009027841240168,0.6098838208951056,0.38520684017437484,0.22718171080988114,0.672365792145688
