,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,CUNI-Kocmi.5618,0.25813596409988704,0.16727278,0.20300062169621516,0.6001019477844238,0.5940951108932495,0.5974841713905334,0.6001019735443406,0.5940951223399025,0.5974841976309544,0.4505708537346335,0.23008591897775663,0.6622839782857713
1,HY-NMT-et-en.5463,0.25947627171507315,0.17215413,0.20698223021043036,0.6320834159851074,0.613985002040863,0.6233268976211548,0.6320834343034075,0.6139849233635468,0.6233268868513405,0.46919125971089504,0.26542565065082363,0.6120324717366402
2,M4t1ss.5692,0.2656599549145766,0.18598032,0.2187914859095292,0.6380079984664917,0.637900173664093,0.638279914855957,0.638007979658898,0.637900176499039,0.6382799380924553,0.48790553138087067,0.27986747588131455,0.601972209771403
3,neurotolge.ee.5398,0.22497032140889317,0.1417531,0.17391985139075564,0.5429303050041199,0.5367918610572815,0.54023277759552,0.5429302755733952,0.5367918920232915,0.540232764733024,0.4201474201236631,0.2003663548601619,0.712958812689875
4,NICT.5664,0.2826188862818599,0.19848481,0.2331952802767615,0.6710644364356995,0.6621527671813965,0.6669090986251831,0.6710644717402756,0.6621527254292742,0.6669091341635213,0.504090016534861,0.30677928309380953,0.5722396533691917
5,online-A.0,0.24508024046890725,0.16524653,0.1973971109070948,0.5825902819633484,0.581605851650238,0.5824896693229675,0.5825902914498001,0.5816058708494529,0.5824896901063621,0.44491540743283237,0.22439236757578498,0.6645002241147467
6,online-B.0,0.2700586911403612,0.18257886,0.21786530133592122,0.6316531896591187,0.6189215779304504,0.6256612539291382,0.6316532153375447,0.6189215789078735,0.6256612558066845,0.4634362060140242,0.2581142306792224,0.6293640121519996
7,online-G.0,0.12377722069584533,0.12163798,0.12269827546677639,0.3794324994087219,0.47173917293548584,0.4253911077976227,0.3794324978493387,0.4717391502680257,0.42539109919714974,0.3989463795796083,0.16182689422075835,0.759026843966333
8,talp-upc.5421,0.261151230333779,0.17073993,0.20648231540484274,0.6124505400657654,0.5999842286109924,0.6065697073936462,0.6124505700967274,0.5999842149135657,0.6065696680443361,0.4517046320066133,0.23857461664136828,0.6552119129438716
9,tilde-c-nmt.5715,0.2731462844470538,0.19593433,0.22818565450874445,0.6568922996520996,0.6594529747962952,0.6584993004798889,0.6568922784216702,0.6594530272129923,0.658499347416684,0.4995926896247374,0.2946250863289946,0.5863837840529907
10,tilde-c-nmt-comb.5718,0.26373331735145694,0.18579736,0.2180093912221519,0.6443015336990356,0.6418700814247131,0.6434211134910583,0.6443014876041562,0.6418700956916437,0.6434211906079436,0.4953018576437487,0.2935571455946682,0.5855371283430449
11,tilde-nc-nmt.5485,0.2953962419041716,0.21535143,0.24910149198021006,0.6896334290504456,0.685498833656311,0.687847375869751,0.6896334468573332,0.6854988716984226,0.687847364731133,0.5097636452905002,0.30936442087801924,0.5685293092285473
12,uedin.5562,0.2737138512473067,0.18921685,0.22375389210072302,0.6572803854942322,0.6474843621253967,0.6526878476142883,0.6572803833596408,0.6474843602310866,0.6526878703711554,0.4917778181513046,0.2938371612368962,0.593480751033418
13,UnsupTartu.5722,-0.04771726280547356,-0.026282685,-0.03389563968089482,0.02509429305791855,0.08980847150087357,0.058234475553035736,0.025094292030247742,0.08980847082457512,0.05823446750794392,0.1837197120898745,0.009621241327610174,1.0118780815777677
