,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,Li-Muze.5736,0.2551912035882489,0.15999758,0.19668149529745133,0.6384739279747009,0.6145102381706238,0.6267404556274414,0.6384739378066782,0.6145101548813534,0.6267404519092424,0.48097121576868845,0.27355933283100503,0.6232758269927168
1,NICT.5539,0.2500772388162525,0.14939813,0.1870506932125495,0.6275191903114319,0.5977137684822083,0.6128324866294861,0.627519197633286,0.5977137748165352,0.6128324512096346,0.47757213402663673,0.2671834650833147,0.6331936363266468
2,NiuTrans.5740,0.2532532377004385,0.15962629,0.19582407014057915,0.6373233795166016,0.6193855404853821,0.6286020874977112,0.6373233792022933,0.6193855379637812,0.6286020301667036,0.4902566490804925,0.28663961685212064,0.6246287179069862
3,online-A.0,0.2259495836191999,0.13420698,0.16839349538012965,0.5699995756149292,0.5549420714378357,0.5628208518028259,0.5699995273741276,0.5549420475259941,0.5628208692794239,0.4465858106582677,0.2181330622699548,0.6672295235382674
4,online-B.0,0.2589657840188494,0.1695467,0.2049265527771314,0.6376357078552246,0.6250225305557251,0.6316221356391907,0.6376357474384226,0.6250224978811522,0.6316221399336469,0.4939453308599899,0.29347591478008084,0.6087093624120112
5,online-F.0,0.15732928316041325,0.091969475,0.11608153763833089,0.3791038990020752,0.4196530282497406,0.3999324142932892,0.37910392312320706,0.41965304039699663,0.3999324333532642,0.3517281541590517,0.10553849152165279,0.8284676730276275
6,online-G.0,0.15993197985871474,0.095203705,0.11935701626529376,0.41167935729026794,0.44334888458251953,0.4279889464378357,0.41167937291745677,0.4433489159137105,0.4279889700955287,0.3995029195073452,0.13754417936247051,0.7801806567115596
7,online-Y.0,0.2494737480056756,0.149418,0.1868971624768424,0.6064804196357727,0.588455319404602,0.5971558094024658,0.6064803942375814,0.5872265040263951,0.5971558113170461,0.4596012389872437,0.2438112794085579,0.6455324083492697
8,Tencent-ensemble-system.5742,0.2507148131836369,0.1635201,0.19794039408272088,0.637062668800354,0.6247239112854004,0.6311410665512085,0.6370625734254713,0.6247239269563473,0.6311410246303465,0.4983737487209585,0.2932191185994127,0.6100215648777312
9,UCAM.5586,0.24914953643184024,0.1602877,0.1950755894072462,0.6312302947044373,0.6183091402053833,0.625045895576477,0.6312302995116502,0.6183091424188828,0.6250458684734929,0.4871040698205848,0.2769940886276524,0.6217500101721122
10,uedin.5652,0.24220477800537915,0.13557437,0.1738410415668944,0.6188514828681946,0.5708799958229065,0.594970703125,0.6188514390559126,0.570880074600798,0.594970683965395,0.4480405181564082,0.24011849253668005,0.6407209993082964
11,UMD.5681,0.241050023964287,0.1422534,0.17891927474526695,0.6098641157150269,0.5873342752456665,0.5982613563537598,0.6098641572206421,0.586105501454165,0.5982613607691786,0.4612351866154815,0.24410176070786713,0.6453493103307971
12,Unisound.5668,0.2488922986132744,0.15796818,0.19327049566008464,0.632947564125061,0.614759087562561,0.6241260170936584,0.6329475611610176,0.6147590961490463,0.6241260237422863,0.4880416614193176,0.2770093382893714,0.6082109289172803
13,Unisound.5712,0.25238495163554375,0.16076605,0.19641695954801222,0.6351704597473145,0.6195279359817505,0.627604067325592,0.6351704577435402,0.619527972009149,0.62760402581445,0.49530739881172037,0.2843737136496576,0.6131647475281767
