,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,CAiRE.6949,0.2197010816920964,0.14468731,0.17447294820846973,0.4484240710735321,0.4415699243545532,0.4452025890350342,0.4484240664248474,0.4415699018377197,0.4452025933753378,0.273299387376766,0.10242799762481743,0.8331200341278727
1,CUNI-Unsupervised-NER-post.6934,0.245282797763367,0.17651285,0.20529166788903477,0.5277707576751709,0.5228239297866821,0.5254024863243103,0.5277707814563086,0.5228238997847573,0.5254024948978878,0.3160016798531416,0.14073459761939972,0.7884871753852717
2,lmu-unsup-nmt-de-cs.6845,0.24705345789941094,0.17612326,0.2056439249535637,0.5386302471160889,0.5300298929214478,0.5342214703559875,0.5386302849099704,0.5300299017020894,0.5342214582028575,0.33376274487439833,0.17030463487831374,0.7541193409054552
3,NEU_KingSoft.6766,0.2541743206358707,0.18890317,0.2167310937751126,0.5622358918190002,0.560157299041748,0.5612934827804565,0.5622358479363118,0.5601573014824475,0.5612934855627653,0.35610548065646136,0.1885942561328098,0.7309230523116301
4,NICT.6938,0.2572826456160276,0.19501534,0.22186286191518517,0.5770270228385925,0.5722757577896118,0.5746808648109436,0.5770270745766628,0.572275779141476,0.5746807867869116,0.37427918863309845,0.20048638631059876,0.7255639097744361
5,online-A.0,0.2542714815102111,0.18503222,0.21419540219067268,0.5459864139556885,0.5333147048950195,0.539701521396637,0.5459863874887787,0.5333147067585974,0.5397015354117126,0.32977819571923267,0.16440037734462506,0.7436943422385751
6,online-B.0,0.262795109710107,0.19577123,0.22438507910071856,0.5827916860580444,0.5644320845603943,0.5736079216003418,0.5827917258955191,0.5644320544110994,0.5736079572069911,0.358670226585653,0.19540396169270655,0.7088999093478376
7,online-G.0,0.2583988645287145,0.19153279,0.21999721538120715,0.567857027053833,0.5542630553245544,0.5610631704330444,0.56785704854374,0.5542630396809468,0.5610631755219738,0.3514241022135565,0.17865134933917548,0.7295099450754546
8,online-Y.0,0.2641635756580865,0.20196407,0.2289139067328211,0.5929054021835327,0.5776732563972473,0.5852900147438049,0.5929054136466819,0.5776732936552803,0.5852900521011727,0.3758626530990141,0.21015476985544188,0.7023942835812936
9,Unsupervised.de-cs.6929,0.23776599654193142,0.17040792,0.19852914370278313,0.5260317921638489,0.5194290280342102,0.5227807760238647,0.526031786563788,0.519429030705525,0.5227807306805341,0.3408970867583398,0.1774827960031433,0.7519863488508506
10,Unsupervised.de-cs.6935,0.23681786320010603,0.16622551,0.19533962053056142,0.5145366787910461,0.5092659592628479,0.5120447278022766,0.5145366834621162,0.5092659571698205,0.5120447114908403,0.32330326060313735,0.16055042346649945,0.7712099397429745
