,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,Kyoto_University_T2T.6679,0.2340415913306437,0.16003446,0.19008879098433587,0.6836224794387817,0.6620191931724548,0.6726688742637634,0.6836224813222325,0.6620191986826431,0.6726688892870204,0.4859056319783115,0.34299503795593567,0.5362892652997011
1,lingua_custodia_primary.6690,0.23209472177091794,0.16047125,0.18974914894215222,0.6892032623291016,0.6672495603561401,0.6780865788459778,0.6892032701782729,0.6672495566067592,0.6780865086502078,0.49656162498077416,0.3560765091910514,0.5174891184645236
2,LIUM.6719,0.2338562342800508,0.15432763,0.18594527933055555,0.6818024516105652,0.6505222916603088,0.6659433841705322,0.681802510064334,0.6505223479163534,0.6659433645738846,0.4775746394498326,0.33362495257132224,0.5450469348156695
3,MLLP-UPV.6647,0.23516479122355033,0.15965724,0.19019081272400096,0.6894460916519165,0.6632323265075684,0.676164448261261,0.6894461419181499,0.6632323369519596,0.6761645019177056,0.4901920608677171,0.34525916638955295,0.5282395511038859
4,MSRA.MADL.6888,0.23809256410169186,0.16630287,0.19582554130649427,0.7072261571884155,0.6816120743751526,0.6942682862281799,0.7072261831011932,0.6816120747956439,0.6942682913529179,0.5063413037978552,0.37259304096268614,0.5034086737637002
5,online-A.0,0.23212038310075675,0.1635635,0.1919028020016694,0.6390052437782288,0.6355165839195251,0.6371703147888184,0.6390052329691928,0.6355165727567946,0.6371702771767457,0.4974328757464443,0.2962913241343317,0.5813362001153705
6,online-B.0,0.2365037812354442,0.15353426,0.18619431790702776,0.678369402885437,0.6398888230323792,0.6588704586029053,0.6783693877389892,0.6398888727007264,0.6588704788215296,0.4706774409964184,0.3196368928123999,0.5572919397975772
7,online-G.0,0.22507048709606065,0.14029653,0.17284871037060912,0.6314076781272888,0.6019051671028137,0.616449773311615,0.6314076272784998,0.6019052085491321,0.6164498091130564,0.4824442082312428,0.26901002789269357,0.6166553044207876
8,online-X.0,0.22358746463097165,0.13771956,0.17044986503576204,0.613333523273468,0.5884122252464294,0.6007876396179199,0.6133335020178508,0.58841221189583,0.6007876537788411,0.45018996558957375,0.2665573710150841,0.5920079710524936
9,online-Y.0,0.23425125095798033,0.15450045,0.18619558065087455,0.6823480725288391,0.6484152674674988,0.6651678681373596,0.6823481097861223,0.6484152985137747,0.6651678817244855,0.4788426616331111,0.3344346659040931,0.536918558917615
10,TartuNLP-c.6897,0.23503074243502564,0.15289788,0.1852696609686325,0.6653976440429688,0.6413351893424988,0.6532368659973145,0.6653976792065555,0.6413351334938051,0.6532368660849168,0.4642638657112757,0.3066107431971463,0.5634013320048246
