,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,CUNI-DocTransformer-Marian.6922,0.2426705414248089,0.18283172,0.20854353284381177,0.6462187170982361,0.643180251121521,0.6446790099143982,0.6462187437813515,0.6431802419537999,0.6446790579052593,0.4403655072074087,0.28143979196031516,0.619954140670826
1,CUNI-DocTransformer-T2T.6751,0.2454335125660256,0.18954723,0.21390023661532634,0.6611717939376831,0.6590245366096497,0.6600549817085266,0.6611718257346307,0.6590245900751205,0.6600549851325478,0.4590399330866664,0.2993601550227204,0.5999840025595905
2,CUNI-Transformer-T2T-2018.6457,0.24704730915568643,0.19087198,0.21535662276066153,0.661397397518158,0.6610593199729919,0.6612279415130615,0.661397295534372,0.6610593763541507,0.6612279208066407,0.4574427520082939,0.2985538528599169,0.5989708313336533
3,CUNI-Transformer-T2T-2019.6851,0.24349607295756115,0.18493968,0.2102162849242839,0.654542863368988,0.648591935634613,0.6514961123466492,0.6545428429806254,0.648591918645088,0.6514961254103487,0.44993688159227313,0.2938952035609615,0.6044899482749426
4,online-A.0,0.22464853578175817,0.14914322,0.17926990277727822,0.5612863302230835,0.5501375794410706,0.5557671189308167,0.561286352947914,0.550137543880591,0.555767150954882,0.3464909046941257,0.18112071674517524,0.7171385911587478
5,online-B.0,0.22924231712376483,0.16047318,0.1887902547789216,0.5991644859313965,0.5858273506164551,0.5925227999687195,0.5991644866738429,0.5858273295705236,0.5925227901266406,0.3808990367864527,0.21755151276937185,0.6833306670932651
6,online-G.0,0.22579477981701687,0.1557909,0.18437154843806308,0.5871517658233643,0.5727043747901917,0.579984724521637,0.5871517809054735,0.5727043487001015,0.5799847302336244,0.3693909012899145,0.20076707208608638,0.6945288753799391
7,online-X.0,0.2161685554176683,0.14089365,0.17059647715786133,0.5280159115791321,0.5221457481384277,0.5252271890640259,0.528015922560414,0.5221457390098809,0.5252271772193936,0.34941631701202797,0.15012232312856638,0.7398282941396045
8,online-Y.0,0.22900143584558136,0.16505641,0.19184063936231782,0.6114965081214905,0.5989605188369751,0.6052621603012085,0.6114964753782967,0.5989605031397359,0.6052621731569111,0.39783843344928493,0.23528863903458805,0.6647736362182051
9,TartuNLP-c.6633,0.23555799462816238,0.16549619,0.19440739678480887,0.6039161086082458,0.5962026715278625,0.6000989675521851,0.6039161365796356,0.5962027050955823,0.6000988980718833,0.39365955148599396,0.2281570474655809,0.67285234362502
10,uedin.6667,0.2458817712588548,0.18574832,0.211626239165852,0.6511830687522888,0.648375391960144,0.6497910022735596,0.6511830455760211,0.6483753942546393,0.6497910248454237,0.44164057601018075,0.2789032166467583,0.6123553564762971
