,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,apertium-fin-eng-unconstrained-en-fi.6448,0.1763069527354059,0.109811336,0.13533215293598677,0.3453783392906189,0.34419897198677063,0.3453008234500885,0.34537831138599157,0.34419897021967116,0.34530080299050375,0.17141788825223794,0.04278907375760807,0.9444358170015839
1,GTCOM-Primary.6917,0.26955740090990393,0.21791281,0.24099938451564015,0.6332046985626221,0.6188907623291016,0.626103937625885,0.6332046698646421,0.6188907594115483,0.6261039430282088,0.38848508083573186,0.2547723290207079,0.6421095133086934
2,Helsinki_NLP.6860,0.259288738705479,0.19614972,0.22334263952102554,0.5951167941093445,0.5704612731933594,0.5828171968460083,0.5951167991249386,0.5704612866878597,0.5828172153586677,0.3506775754583486,0.20766155825402804,0.6913998198589931
3,Helsinki_NLP__rule-based_.6636,0.22904645345712585,0.16266346,0.19023000087735972,0.48223528265953064,0.48336970806121826,0.48308491706848145,0.482235308151105,0.48336970101543886,0.4830849479995719,0.24664936008188817,0.08883431921058454,0.8386495636239402
4,MSRA.NAO.6985,0.27257002750212783,0.22361101,0.24567508571841026,0.6382532119750977,0.6293949484825134,0.6338809728622437,0.6382532745374028,0.6293949983775258,0.6338810155435867,0.4024662016292733,0.2743416946597879,0.6304624654470914
5,NICT.6359,0.2578421566601197,0.2026222,0.22692112865722602,0.6073426604270935,0.591705858707428,0.5995922088623047,0.6073426458239369,0.5917058437719018,0.5995922367208352,0.3620467332706475,0.23225997869791165,0.6750939528527502
6,online-A.0,0.22874097934985302,0.16404842,0.1910672543654745,0.5290472507476807,0.5013573169708252,0.5153236985206604,0.5290472005257494,0.5013573124266053,0.5153237336674779,0.28771696595732194,0.14032993170155902,0.7951051340186974
7,online-B.0,0.2597625355853608,0.19794258,0.22467770374844737,0.5999165773391724,0.5771238803863525,0.5885328650474548,0.5999165787121387,0.5771239280260438,0.5885329132281247,0.34249414803218614,0.2047751798860515,0.7018976923315837
8,online-G.0,0.2503156710055388,0.18705125,0.21410791318104733,0.5900134444236755,0.5479594469070435,0.5686433911323547,0.5900134402147691,0.547959469042709,0.5686433070528605,0.3375650133278532,0.18340978753870538,0.7191042643724572
9,online-X.0,0.2249243786107242,0.14697556,0.1777810821712874,0.49125799536705017,0.44495993852615356,0.46797510981559753,0.49125798858802916,0.44495996174346103,0.46797510156707356,0.32294332100808415,0.12342934361692742,0.7413734198838401
10,online-Y.0,0.25032217055600264,0.19406964,0.21863559231952084,0.5935747623443604,0.5618449449539185,0.5776776671409607,0.5935747569112567,0.5618449328938274,0.5776776798996602,0.35282177100075374,0.2040618672340986,0.6760257166816784
11,TartuNLP-c.6509,0.2596077725727808,0.19123374,0.22023599773570457,0.5780357718467712,0.5577629804611206,0.5679019093513489,0.5780357250838383,0.5577629571281556,0.567901876109149,0.3262680462336147,0.18478149583811412,0.7191353231667548
