,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F
0,CUNI-T2T-transfer-engu.6466,0.28158355186356415,0.13885953,0.18599691835654839,0.8424601554870605,0.8320330381393433,0.8368703722953796
1,GTCOM-Primary.6970,0.25304814304588685,0.14684583,0.1858445862914329,0.8753045797348022,0.8775472044944763,0.8762568235397339
2,IITP-MT.6827,0.3249480265944906,0.13192248,0.18765908377413124,0.7944480776786804,0.7895199060440063,0.7917690873146057
3,Ju_Saarland_clean_num_135_bpe.6617,0.27594692177404506,0.13668728,0.18281777791748932,0.8405678868293762,0.8216917514801025,0.8307695984840393
4,MSRA.CrossBERT.6991,0.2948161557153883,0.13915065,0.18906450456414867,0.8406628966331482,0.835477352142334,0.8378489017486572
5,NICT.6604,0.3089609297426238,0.13156046,0.18454060541696318,0.7987892031669617,0.790416419506073,0.7942023277282715
6,online-B.0,0.2118121332388654,0.15799089,0.18098493018522865,0.929067075252533,0.9300764799118042,0.929433286190033
7,online-G.0,0.28720237452690645,0.13465364,0.1833461861739092,0.8105643391609192,0.8059806227684021,0.8081114888191223
8,online-X.0,0.2980416323839897,0.12779002,0.1788817046542243,0.7959636449813843,0.7669926881790161,0.7808805704116821
9,UdS-DFKI.6866,0.31618332805473864,0.13007177,0.18431845923090145,0.7707677483558655,0.7765244841575623,0.7734312415122986
10,UEDIN.6849,0.2889857036461253,0.14049438,0.18906984567012133,0.8411614298820496,0.8429265022277832,0.8418019413948059
