,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F
0,eTranslation.6836,0.3655117897755223,0.14540918,0.20805084631051746,0.8209004998207092,0.8179781436920166,0.8192226886749268
1,GTCOM-Primary.7001,0.36118463524938743,0.14619131,0.20813779788560322,0.8261836767196655,0.8223769664764404,0.8240938782691956
2,MSRA.MASS.6931,0.3545788146249923,0.14620665,0.2070418716027339,0.8288235068321228,0.8234448432922363,0.8259341716766357
3,MSRA.MASS.6954,0.35051802068785054,0.14708115,0.20721334363734503,0.8328688144683838,0.8268560171127319,0.8296487927436829
4,NEU.6760,0.3583990759203453,0.14459617,0.20605814962739377,0.8215485215187073,0.8149446845054626,0.8179730772972107
5,online-A.0,0.40126959150702285,0.13969937,0.20724704381927145,0.7923100590705872,0.7846766710281372,0.788295328617096
6,online-B.0,0.3739894732292461,0.14371686,0.2076412377489321,0.8154470324516296,0.8075380325317383,0.8112537860870361
7,online-G.0,0.40859927725317985,0.13936536,0.20784036611734008,0.7858492136001587,0.7813305854797363,0.7834274768829346
8,online-X.0,0.4066697499716583,0.13837278,0.20648672503545673,0.7833927273750305,0.774284303188324,0.7786496877670288
9,TartuNLP-c.6510,0.399178005381589,0.14329486,0.2108866963033712,0.8081661462783813,0.8019224405288696,0.8048246502876282
10,tilde-c-nmt.6695,0.3581734811408827,0.14682272,0.2082708931622735,0.8282839059829712,0.8248996734619141,0.8264074325561523
11,tilde-nc-nmt.6696,0.35458163788789193,0.14755005,0.208385723391046,0.8317070007324219,0.8256546854972839,0.8284627199172974
