,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,apertium-fin-eng-unconstrained-fien.6449,0.060050535891350995,0.06820708,0.0638694491854891,0.2615610957145691,0.34240689873695374,0.3020254075527191,0.2615610621880937,0.34240690388999395,0.3020254108002458,0.2901073292910454,0.0756314106213315,0.7950908471848206
1,GTCOM-Primary.6946,0.28777603343191155,0.20761399,0.24120925998841666,0.6980286836624146,0.6900326609611511,0.694258987903595,0.6980286568388313,0.690032694593281,0.6942589679968082,0.5053050006104475,0.3145034487190524,0.5504070325316495
2,Helsinki_NLP.6889,0.2671731023549309,0.17027417,0.2079915950547743,0.6519372463226318,0.6208486557006836,0.6365132927894592,0.6519372577373991,0.6208486271439352,0.6365133524425715,0.4646440424937775,0.2666648136277786,0.6018509920450676
3,MSRA.NAO.6983,0.2885097251934036,0.20484842,0.23958563385934833,0.7034317255020142,0.6860500574111938,0.6949462890625,0.7034317370194322,0.6860501276369287,0.694946341403202,0.5014946464577792,0.3189149970631817,0.5433497384467763
4,online-A.0,0.23270091956333527,0.14737967,0.18046374998641312,0.5927719473838806,0.5772900581359863,0.5852506756782532,0.5927719279071774,0.5772900617601423,0.5852506862895448,0.4372909450965793,0.23850822953015405,0.6302349336057201
5,online-B.0,0.264342809039828,0.17417711,0.20999030858051235,0.6555280089378357,0.6257084012031555,0.6408452987670898,0.655528056519274,0.625708354534376,0.6408453522387002,0.4602590958730104,0.2697063061013651,0.5852601603367691
6,online-G.0,0.22014917154683497,0.13647588,0.1684965834039395,0.5534772872924805,0.5428506135940552,0.5484440326690674,0.5534772822252645,0.542850635202162,0.5484440932904215,0.4322649460522331,0.2100195664993143,0.6592379360510107
7,online-X.0,0.2252378911002804,0.121133946,0.1575414141569477,0.5633611083030701,0.5182909965515137,0.5409692525863647,0.5633611281472748,0.5182909299420027,0.540969280032385,0.4310021830777889,0.22192267438725444,0.6317825858173152
8,online-Y.0,0.2807614927697255,0.19147065,0.22767440467223585,0.682993471622467,0.6621311902999878,0.6727637052536011,0.682993494330687,0.662131195945781,0.6727636914321395,0.4906576561826986,0.2986484860518597,0.5589191196954221
9,parfda.6526,0.13565161377782126,0.10934564,0.1210863557953449,0.4313840866088867,0.47294560074806213,0.45187297463417053,0.4313841023411693,0.4729455736405561,0.45187301665466295,0.3951754311666075,0.19202131396838662,0.6760144860247004
10,TartuNLP-c.6905,0.2240436004458281,0.15576877,0.18376966305903691,0.5796575546264648,0.583232045173645,0.5816715359687805,0.5796575545180399,0.5832320607690988,0.5816715253408082,0.4317379939355398,0.23909157899813493,0.6213514099111648
11,USYD.6995,0.27113106403956033,0.18977311,0.22327151083850597,0.6791942715644836,0.6605142951011658,0.6700319647789001,0.6791942539272124,0.6605142944504998,0.6700320005130381,0.4986146066111141,0.330284851374568,0.5392639366081654
