,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,eTranslation.6262,0.2405374756356252,0.17214084,0.20067118178068033,0.6961602568626404,0.6826500296592712,0.6893446445465088,0.6961602563633069,0.6826500283058148,0.6893445569923315,0.48557591431887964,0.32714630450077514,0.5506337135614702
1,LIUM.6720,0.23867624126259207,0.16862762,0.19762840624195743,0.6633228063583374,0.6690595149993896,0.666221022605896,0.6633228214872647,0.6690595165674719,0.6662209973851769,0.47636252274429036,0.29687009688175314,0.6041825095057034
2,MLLP-UPV.6654,0.23720028370786525,0.16137429,0.19207460438129728,0.6568895578384399,0.6525396108627319,0.6547257304191589,0.6568895604183294,0.6525395494140576,0.6547256740514213,0.45444727358797493,0.274695066801712,0.6260456273764259
3,MSRA.MADL.6893,0.2467757787701863,0.18377042,0.21066305256305234,0.7075560092926025,0.7044823169708252,0.7060294151306152,0.7075560296075895,0.7044823007994298,0.7060293980393951,0.5059919259267578,0.35041885435693326,0.5336501901140684
4,online-A.0,0.2352531222605772,0.16004501,0.19049464507137492,0.6516500115394592,0.648049533367157,0.6498949527740479,0.6516499922669403,0.6480495583951509,0.6498949599136401,0.450481875849265,0.26750322580817604,0.6224968314321927
5,online-B.0,0.2386001453946343,0.15596098,0.1886263480467797,0.6532337665557861,0.6357902884483337,0.6445174813270569,0.6532337824731347,0.6357902427899844,0.6445175408353391,0.430809791319255,0.2640448023219826,0.6288022813688213
6,online-G.0,0.24294709062237593,0.15725446,0.1909263625410661,0.6379647254943848,0.6379514932632446,0.638016402721405,0.6379647082892815,0.6379514646961155,0.6380164110173484,0.4472775329132345,0.24221919388876129,0.6474334600760456
7,online-X.0,0.2363200794372316,0.15078744,0.18410440733560035,0.6238361597061157,0.6163049340248108,0.6201422214508057,0.623836104674314,0.6163049720880356,0.6201422728120685,0.4333358674737659,0.22623158781895558,0.6784537389100127
8,online-Y.0,0.23908309044532208,0.15517978,0.18820368183199784,0.6435783505439758,0.6336725950241089,0.6386536955833435,0.6435784413832416,0.6336726006087593,0.6386537075804866,0.42934265790265996,0.2543652373451149,0.636787072243346
9,TartuNLP-c.6514,0.2391376168321836,0.15473178,0.18789065338509,0.636193573474884,0.6322548985481262,0.6342442035675049,0.6361936180535342,0.6322549133178839,0.6342442297387095,0.43008037709183433,0.24813239521726949,0.6500316856780735
