,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,aylien_mt_gu-en_multilingual.6826,0.22241735103273136,0.17118086,0.19346426005990874,0.46225881576538086,0.4788356423377991,0.47085416316986084,0.4622588434233009,0.47883566562407176,0.47085417883459657,0.36939296330665194,0.16792474577612215,0.7135502732935045
1,CUNI-T2T-transfer-guen.6431,0.25408316571742406,0.18131615,0.21161898998491446,0.49157366156578064,0.4980250597000122,0.4951624870300293,0.49157362183647396,0.4980250514730239,0.4951624764185894,0.3763690074305495,0.17447144365500417,0.7347781873649422
2,GTCOM-Primary.6969,0.22005806124044436,0.17050609,0.19213867666408127,0.45401206612586975,0.4826306104660034,0.46869125962257385,0.45401202932347456,0.48263062169045706,0.468691244979881,0.38209179874528443,0.17481085204161737,0.7329350451252066
3,IIITH-MT.6688,0.08048399695244841,0.04173455,0.054966508547609684,0.22569116950035095,0.2555571496486664,0.24124260246753693,0.22569117287043702,0.2555571380692949,0.24124261113887424,0.26649869763915995,0.0676094154416844,0.8108554722257532
4,IITP-MT.6824,0.11226096867541305,0.068948835,0.08542874456572119,0.29195278882980347,0.312119722366333,0.3025917112827301,0.29195280890663405,0.31211970448496534,0.30259168306046497,0.28854884768448275,0.09376230949635041,0.8276979788991992
5,Ju_Saarland.6525,-0.6358675823777326,0.0322963,0.06804886433924251,-0.5219273567199707,0.2661905884742737,-0.17458048462867737,-0.5219273801304503,0.2661906141307898,-0.17458049761586067,0.28586390567178216,0.11854471122812862,0.7964916740816066
6,NEU.6756,0.30421823914728213,0.2306895,0.2624002145315775,0.5820590257644653,0.574249267578125,0.5784329175949097,0.5820589266682142,0.5742492656242726,0.5784329420366273,0.43316266164691963,0.24899525603819683,0.6494851913054531
7,NICT.6603,0.25052711863687366,0.16307895,0.19755850979065565,0.4950282871723175,0.46559029817581177,0.48062220215797424,0.4950282668711354,0.46559029986108397,0.4806221854098656,0.3643169589549952,0.17218126370584017,0.7326172619804245
8,online-B.0,0.3444251659440605,0.28520474,0.3120299359025604,0.6573907136917114,0.6441912651062012,0.6510201692581177,0.6573906396556917,0.6441912774654751,0.6510202087760778,0.5026509354912245,0.3842154346404263,0.5177322994788356
9,online-G.0,0.09701963895615369,0.08493878,0.09057816383550453,0.24642829596996307,0.31497958302497864,0.2809683680534363,0.24642830492772677,0.31497957218655176,0.2809683560889547,0.3176424694779856,0.08846172556314351,0.8989449599593238
10,UdS-DFKI.6861,-0.02634701362461889,0.06562919,-0.0880365240763273,0.1211901307106018,0.29318466782569885,0.20577292144298553,0.12119012735612754,0.2931846855809117,0.20577292984082993,0.29336832882623337,0.09551852230458134,0.8433329096224736
11,UEDIN.6534,0.276820761318986,0.20169717,0.23336205654401207,0.5389646291732788,0.5302153825759888,0.534949004650116,0.5389646754479109,0.5302153879333852,0.5349490007011616,0.40732396563116946,0.21447362985489238,0.6868564891318164
