,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,CUNI-T2T-transfer-kken.6436,0.26342321856061807,0.14990272,0.1910736910739498,0.5772954821586609,0.5112909078598022,0.5440866351127625,0.5772954290695489,0.5112908886796795,0.5440866216039285,0.37013497561538056,0.1848454555316774,0.7122200967705637
1,DBMS-KU_KKEN.6726,-0.6794189464796129,-0.0536561,-0.0994576800336542,-0.6436702609062195,0.061471741646528244,-0.3181522786617279,-0.6436702546468005,0.06147174028822337,-0.3181522827536755,0.16367745898327138,0.03404806318318474,1.0541802633059525
2,Frank_s_MT.6127,0.21322829129276188,0.18924604,0.2005226520458903,0.4572393000125885,0.5743833780288696,0.5153005123138428,0.45723927227801325,0.5743833845546469,0.5153005918324925,0.4501650782891999,0.19778098658597063,1.170248677844042
3,NEU.6753,0.30268699235290497,0.22094728,0.2554373205684449,0.6617827415466309,0.6373120546340942,0.6497014164924622,0.6617826609462499,0.6373121188040822,0.6497013895735144,0.48108551425224094,0.304817482876415,0.608360526611905
4,NICT.6770,0.2567785088896957,0.17801844,0.21026508609740963,0.5879630446434021,0.5642950534820557,0.5761533379554749,0.5879630762897432,0.5642950473474339,0.5761533192736097,0.44083121684366816,0.26213479618107055,0.6691797006863959
5,NRC-CNRC.6895,0.26186588317287407,0.19214998,0.22165535866120184,0.5860149264335632,0.5841285586357117,0.5853914618492126,0.5860149643348995,0.5841286347433925,0.5853914487557486,0.4379582307555088,0.24936877845563502,0.6752559918982783
6,online-B.0,0.30286387190652814,0.2196529,0.2546327023747835,0.6658463478088379,0.6289393901824951,0.6476207375526428,0.6658463736996054,0.6289393358808011,0.6476207420900464,0.4739995416291273,0.3198844191892728,0.5809046922471025
7,online-G.0,0.27050446814797247,0.19340329,0.22554679450416285,0.5994518995285034,0.5817416310310364,0.5908458232879639,0.5994518822389655,0.5817416007346473,0.5908457607615274,0.44788536118669103,0.257222060206232,0.6620344323168673
8,rug_kken_morfessor.6677,0.29613768419052083,0.20578863,0.24283153172269192,0.6454047560691833,0.616879940032959,0.6312536597251892,0.6454047683551908,0.6168799328217283,0.6312536297477782,0.46649151068707445,0.2794361860522712,0.6547766400360077
9,talp_upc_2019_kken.6657,0.27366883129755454,0.18512917,0.22085572622158886,0.5999740958213806,0.5740290880203247,0.5871322154998779,0.5999740684338031,0.5740291165667295,0.5871321928231046,0.4315931430199775,0.24923295834086143,0.6871272645437155
10,UMD.6736,0.13427797626009483,0.034463424,0.0548493594073928,0.34746313095092773,0.2746659517288208,0.3109269142150879,0.3474631162964506,0.2746659307390801,0.3109268847063649,0.2322544499854919,0.091959080469753,0.8848880387082255
