,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,GTCOM-Primary.6998,0.28865731059233773,0.20421165,0.2392002368947907,0.7411308884620667,0.7171514630317688,0.7293639183044434,0.7411309028994292,0.7171514701098204,0.7293639138266444,0.5506818392171344,0.36290428130907293,0.48812791356249735
1,JUMT.6616,0.023375773545983757,0.075950354,0.03574886732349709,0.30628812313079834,0.41644200682640076,0.35495316982269287,0.30628811375051734,0.41644202513154593,0.3549531496800482,0.37283878463653203,0.16572874668377618,0.7620354637737986
2,MSRA.MASS.6945,0.27730510078817106,0.1943484,0.2285313338019974,0.7243607640266418,0.7048515677452087,0.7148470282554626,0.7243607964953408,0.7048515420109034,0.7148470545560122,0.5463328004731067,0.35484965484124714,0.5039864070056201
3,NEU.6759,0.2837549038373984,0.19510823,0.23122647767351895,0.7266510128974915,0.7049149870872498,0.7160031199455261,0.7266510020606219,0.7049150100098923,0.7160030954927206,0.5392761540584959,0.34254247312728275,0.5188864200758071
4,online-A.0,0.22912364959854906,0.14567253,0.17810758768468518,0.6087328195571899,0.5951489210128784,0.6022466421127319,0.6087327974438668,0.5951489109462127,0.6022466688454151,0.4660972120709065,0.24345569398906883,0.6109441031673419
5,online-B.0,0.26115591903105917,0.16811863,0.2045552188840533,0.6883499622344971,0.6475173234939575,0.668180525302887,0.6883499341607093,0.6475173462592065,0.668180500164628,0.5019191004875869,0.29457343553555193,0.5526510695769616
6,online-G.0,0.14560623516385982,0.1245099,0.13423424581487006,0.45873138308525085,0.5290159583091736,0.49372270703315735,0.45873139705826177,0.5290158868953586,0.49372272835136394,0.4398338467494394,0.19488303403081148,0.6667973685357034
7,online-X.0,0.13697891335032278,0.1038155,0.11811349314491111,0.4384235739707947,0.4836852252483368,0.4609535038471222,0.438423583837226,0.48368520666605763,0.4609534867720213,0.41948775929565046,0.1757169692937508,0.6608722171393717
8,TartuNLP-c.6908,0.22760888894706943,0.1509092,0.1814881581060666,0.5979077219963074,0.6008945107460022,0.599672257900238,0.5979077008822933,0.6008945530205965,0.5996722110672854,0.46218023435103767,0.24141350520681526,0.6109441031673419
9,tilde-c-nmt.6876,0.2776970984389152,0.17905122,0.21772167440614743,0.716083288192749,0.6766834259033203,0.6965407133102417,0.7160832623839378,0.6766834123106673,0.6965406884253025,0.5141249992930957,0.3025950060014221,0.5374025181893435
10,tilde-nc-nmt.6881,0.2814477905157072,0.18741916,0.22500501955667473,0.724421501159668,0.6897153258323669,0.7072275876998901,0.7244214761145413,0.6897153410539031,0.7072276011705398,0.5253416141907677,0.31552313677803234,0.5275998780115889
