,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,afrl-ewc.6659,0.20690204659124642,0.13352272,0.1623038429519568,0.6384089589118958,0.6494684815406799,0.644088625907898,0.6384089381434024,0.6494685006071813,0.6440886146556586,0.5039581369030527,0.34311974085743896,0.5402163435793081
1,afrl-syscomb19.6782,0.20572671308477453,0.13214704,0.1609250581250594,0.6546624898910522,0.6564956307411194,0.6557328104972839,0.654662508200854,0.6564955461870413,0.6557327447981225,0.5186877446024549,0.37197493843261703,0.5193049159258862
2,eTranslation.6598,0.23565038704331742,0.14906937,0.18261736719336516,0.7069286108016968,0.6868306398391724,0.6969838738441467,0.7069285427648574,0.6868306147905532,0.6969838434010744,0.5241452487400504,0.37434927360812187,0.5023829923958445
3,Facebook_FAIR.6937,0.2533876855328714,0.16878268,0.2026075552499727,0.7289648652076721,0.7238652110099792,0.7265610098838806,0.7289649116285145,0.7238652098653838,0.7265610080156475,0.5453303138477852,0.39988629004955534,0.4880582628253186
4,MSRA.SCA.6976,0.22571184752086176,0.15011151,0.18030782686158678,0.7029017210006714,0.6928886771202087,0.6980090141296387,0.7029017013406846,0.6928886240627616,0.6980090445242823,0.5390154866089037,0.4008297193148291,0.48746920852522224
5,NEU.6803,0.22715465970569204,0.15274177,0.18266033972404322,0.703885555267334,0.7021697759628296,0.7031629681587219,0.7038855657540262,0.7021697571245022,0.7031629692837595,0.5475497127552738,0.4000425838313372,0.49006640248473815
6,NICT.6561,0.06232607972076596,0.09199479,0.07430848052847634,0.42085927724838257,0.5293107032775879,0.47083404660224915,0.4208592732721008,0.5293107414479018,0.47083400778383655,0.44262333086202194,0.282115071355529,0.607984363285852
7,online-A.0,0.21414561240960073,0.1369592,0.16706812374734717,0.659676730632782,0.6610233187675476,0.6605523824691772,0.659676738748618,0.6610232769891154,0.66055233120732,0.5152382198100782,0.35571874369348727,0.5215540323444361
8,online-B.0,0.23299264383351187,0.16113448,0.19051289005304478,0.7193553447723389,0.7150444388389587,0.7172994613647461,0.7193553259610198,0.7150444850772619,0.7172994298033882,0.5633679632385422,0.4527756593133301,0.45164399700117813
9,online-G.0,0.2232537223288427,0.14608471,0.1766074286184893,0.688343346118927,0.68255215883255,0.6856192946434021,0.6883433200586587,0.6825522420727648,0.685619325694628,0.543737838341421,0.3850970312436325,0.4913516118667666
10,online-X.0,0.18816358132743496,0.11508343,0.14281763685656537,0.5769432783126831,0.592418372631073,0.5848795175552368,0.5769432841495145,0.5924183964794502,0.5848794875714811,0.4949367422737677,0.3041624460671578,0.5660008568062547
11,online-Y.0,0.22513827150177693,0.14782448,0.1784679458329995,0.6757433414459229,0.6852954030036926,0.680670976638794,0.675743273794651,0.6852954380556475,0.6806709852661006,0.527226451409545,0.3704920783569026,0.5126111170611546
12,rerank-re.6540,0.17490543046295912,0.12919131,0.14861232365802715,0.5588284730911255,0.6357970237731934,0.5969157814979553,0.5588285148148425,0.6357970652231015,0.5969157889821217,0.5225852884060554,0.37534302031328226,0.6703705687051515
13,TartuNLP-u.6650,0.21607315347363207,0.12496028,0.15834554175084017,0.6346985101699829,0.6242440938949585,0.6296837329864502,0.6346985090063536,0.6242440789556131,0.6296837508156896,0.47983660984417265,0.30760120077045267,0.5747563457213237
