,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,cs-en.CUNI-DocTransformer.1457,0.23410855991437374,0.15336752,0.18532575825009753,0.6963221430778503,0.6633880138397217,0.6801604628562927,0.696322175056999,0.6633879759135735,0.6801605030939163,0.5415213804855048,0.29221792646620653,0.5531780452078008
1,cs-en.CUNI-T2T-2018.1072,0.2194979879411759,0.12715417,0.16102645858580228,0.655378520488739,0.6104551553726196,0.6331868171691895,0.6553784626794149,0.6104551894276078,0.6331867452609881,0.512402904369177,0.26080249708829273,0.5856908981244794
2,cs-en.CUNI-Transformer.1081,0.2284504298109069,0.14115784,0.17449592581685888,0.6888830661773682,0.6466530561447144,0.6680455207824707,0.6888831080083387,0.6466530414679682,0.6680454694811838,0.5304724540752462,0.28550453034168344,0.5595829623459804
3,cs-en.Human-A.0,0.3500402729910067,0.35030565,0.3501729095470472,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998147229114,0.9999998147229114,0.9999998147229114,0.9029088732366243,1.0000000000000004,0.0
4,cs-en.Online-A.1570,0.21216437719474684,0.13368364,0.1640194790375238,0.6505449414253235,0.6232214570045471,0.6372631192207336,0.6505449483260871,0.6232214959181217,0.6372631535562406,0.5199357139510625,0.2683942566348738,0.5823591923485654
5,cs-en.Online-B.1586,0.22615007927617503,0.14563473,0.17717402282289912,0.6814246773719788,0.6490011215209961,0.6655361652374268,0.681424745437072,0.6490010847057025,0.6655361880941024,0.5366552573861453,0.28662130078536696,0.56254128730218
6,cs-en.Online-G.1552,0.19685450647822295,0.112417735,0.14310975764926712,0.6110261678695679,0.571514904499054,0.5915826559066772,0.6110261049323592,0.5715149715570845,0.5915826236133475,0.5018956228997202,0.23913754849303132,0.6017749949737198
7,cs-en.Online-Z.1628,0.19045637454387637,0.122572176,0.14915350206051173,0.6003909707069397,0.586455762386322,0.5938811898231506,0.6003909827804709,0.5864557344466448,0.5938811846616039,0.4927867382036312,0.2324576153013977,0.5994772668523997
8,cs-en.OPPO.1481,0.2308675831436187,0.14824587,0.18055368694592114,0.698959231376648,0.6604403853416443,0.6799957156181335,0.6989591982866447,0.6604403946660908,0.6799957232258047,0.545358404035829,0.2990911371030324,0.5489559697848752
9,cs-en.PROMT_NMT.76,0.21095993795750667,0.12196798,0.15457013931286956,0.6514609456062317,0.6023303270339966,0.6271930932998657,0.6514609075734863,0.6023302826446941,0.6271930802164667,0.5032093742985938,0.2557251711854681,0.5874716374185025
10,cs-en.SRPOL.1365,0.22741216569729372,0.14340855,0.1758955085689682,0.6893471479415894,0.6501976251602173,0.6699522137641907,0.6893471265548324,0.650197625036789,0.6699522397290152,0.5361791607336028,0.28505878707723553,0.560128672774794
11,cs-en.UEDIN-CUNI.1359,0.21775384211735097,0.13603096,0.16745356850450463,0.6676737666130066,0.6361215114593506,0.6522237658500671,0.6676737098135503,0.6361215243667241,0.6522237255956125,0.5296906251757071,0.2766006856889493,0.5708418301404486
12,cs-en.zlabs-nlp.1149,0.17108122751419705,0.10655371,0.13131877256749222,0.5533508062362671,0.5389965176582336,0.5467082858085632,0.5533508084243141,0.5389964802089675,0.5467083071897099,0.47486531290038647,0.21756813736208291,0.6322198925812104
