,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,en-de.AFRL.1069,0.22260332774204103,0.15976512,0.18602082959035507,0.6932333707809448,0.6663177013397217,0.6797415614128113,0.6932333027168961,0.6663176894545219,0.6797415714590103,0.5259794055310734,0.3411760533799109,0.5308254279795006,0.260
1,en-de.eTranslation.737,0.22544368973587897,0.16902724,0.19320117991456218,0.7101859450340271,0.6957012414932251,0.70298171043396,0.710185964727099,0.6957012885085955,0.7029817542231974,0.5534083991335353,0.3793995729123533,0.4993566677570602,0.312
2,en-de.Human-A.0,0.3289902252853449,0.3283894,0.32868954118230087,1.0,1.0,1.0,0.9999999559060139,0.9999999559060139,0.9999999559060139,0.876237360517156,1.0000000000000004,0.0,0.322
3,en-de.Human-B.0,0.2336412520082666,0.17067125,0.1972525950957882,0.6558682322502136,0.6605989336967468,0.6583437323570251,0.6558683022583489,0.6605988954875635,0.658343735472818,0.5187887567474493,0.32501442136119274,0.5815723476174899,0.569
4,en-de.Human-P.0,0.23831403935427736,0.14911565,0.1834467214542227,0.519482433795929,0.5333261489868164,0.5267818570137024,0.5194824555276647,0.5333261578140205,0.5267818672805814,0.3771072394594806,0.1572463596235128,0.8034892596227238,0.299
5,en-de.Huoshan_Translate.832,0.22450728525012123,0.16831912,0.19239474898100392,0.710472583770752,0.696109414100647,0.7033602595329285,0.7104725450361397,0.696109379254208,0.7033602680658925,0.5566391305737656,0.38175576162878594,0.4962599498418929,0.326
6,en-de.Online-A.1574,0.22157747763176225,0.16090856,0.18643145097333524,0.6878390908241272,0.6736518144607544,0.6808714270591736,0.6878390675844107,0.6736518161578895,0.68087145638861,0.5283641274437212,0.3616419184432706,0.5134663613564496,0.322
7,en-de.Online-B.1590,0.2262031201051131,0.16426401,0.19032091824823638,0.6968605518341064,0.679505467414856,0.6882885694503784,0.6968605565104229,0.6795054726586355,0.6882885906146511,0.5333085528178511,0.36460987062150224,0.5090611710827608,0.416
8,en-de.Online-G.1556,0.2166544190729451,0.14007008,0.1701413947760448,0.6380939483642578,0.6064364314079285,0.6223185658454895,0.6380939768188553,0.6064364606585506,0.6223185085054429,0.4824430873331705,0.27243783260725424,0.5637553156689565,-0.120
9,en-de.Online-Z.1631,0.21126497740532804,0.14711407,0.17344792160192649,0.6382956504821777,0.6260268688201904,0.6323210000991821,0.6382956768692128,0.6260268740324443,0.6323209823817225,0.4817403343533641,0.2959303770584085,0.5764038818013303,0.126
10,en-de.OPPO.1535,0.226292396945059,0.17043994,0.19443468273158193,0.7159115076065063,0.7005952000617981,0.7083325386047363,0.7159115150255612,0.7005951958688762,0.7083325014043762,0.5594356612441955,0.38560207324664225,0.4903718242285466,0.495
11,en-de.PROMT_NMT.73,0.21618282728223445,0.15106435,0.17785034416914805,0.6682159304618835,0.6454793810844421,0.656978964805603,0.6682158787912139,0.6454794302540706,0.6569789621994762,0.5005565709138113,0.3179868659195715,0.5475956820412169,0.247
12,en-de.Tencent_Translation.1520,0.2262256662541846,0.16952753,0.19381512959257796,0.718682587146759,0.6990955471992493,0.7089656591415405,0.7186826669068531,0.6990955556796703,0.7089656312097448,0.5609515402303047,0.38641899147734804,0.4877766873841457,0.385
13,en-de.Tohoku-AIP-NTT.890,0.22530842744237187,0.16888641,0.19305951072233923,0.7093198895454407,0.6966302394866943,0.7030846476554871,0.7093199054449166,0.6966302449721712,0.7030846212054005,0.5513542280608059,0.3877054369545045,0.49050267146439863,0.468
14,en-de.UEDIN.1136,0.22240968258669416,0.16252321,0.1878079855032643,0.694803774356842,0.6790724396705627,0.6870549917221069,0.6948038001803547,0.6790724327920428,0.687054956390303,0.5417372582240141,0.3633740511279058,0.5137716715734381,0.251
15,en-de.WMTBiomedBaseline.388,0.21220638502130895,0.12926574,0.1606632779091417,0.601649284362793,0.5632134675979614,0.582104504108429,0.6016492536672416,0.5632134739610686,0.5821044884519638,0.43106583674476123,0.251614356119568,0.625624250354378,0.338
16,en-de.zlabs-nlp.179,0.20848415969081055,0.13530682,0.1641074395149745,0.6079885959625244,0.5876880884170532,0.5979760885238647,0.607988583297186,0.5876880978981699,0.5979760834557755,0.45912749720516965,0.281643704677623,0.6059753571039145,-0.278
