,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,en-zh.dong-nmt.768,0.1698718825104049,0.12385046,0.1432557724537434,0.6584717631340027,0.6199544668197632,0.6385213732719421,0.6584717743256364,0.6199545132400854,0.63852135471511,0.08352549648991701,0.019102669990231982,4.180312201338006
1,en-zh.Huawei_TSC.618,0.1848360149457188,0.14892945,0.16495131236460892,0.7168920636177063,0.6998996734619141,0.7079394459724426,0.7168920849658791,0.6998996815535178,0.7079394762266338,0.05780619993715588,0.018174868857936108,1.0990761388977381
2,en-zh.Human-A.0,0.3109689947979563,0.31054792,0.3107583138002181,1.0,1.0,1.0,0.9999999781421613,0.9999999781421613,0.9999999781421613,0.29774025887320765,1.0000000000000004,0.0
3,en-zh.Human-B.0,0.19855834661500674,0.14833233,0.16980924485761456,0.6671497821807861,0.6461072564125061,0.6562415361404419,0.6671497772942981,0.6461071652295896,0.6562415769767694,0.0519325698239826,0.0125913968819853,1.0433258999681427
4,en-zh.Huoshan_Translate.716,0.17883138432057274,0.14454685,0.15987169630566914,0.7032425999641418,0.6882179379463196,0.6950336694717407,0.7032425967590261,0.6882178983815298,0.6950336658147561,0.052758100009007915,0.013830723047450658,1.5578209620898376
5,en-zh.NiuTrans.1511,0.18985222625456508,0.15354744,0.16978072936225846,0.730385422706604,0.7109676599502563,0.7202648520469666,0.7303853626921247,0.7109676870834003,0.720264850870006,0.0559976740350813,0.0029098465746857445,25.024848677922904
6,en-zh.Online-A.1579,0.17798818029536145,0.13861766,0.1558550246263278,0.6927513480186462,0.6629560589790344,0.6774289011955261,0.6927514091785603,0.6629560440253304,0.677428889467955,0.009146070223197897,0.02083053110508283,1.1130933418286078
7,en-zh.Online-B.1597,0.18107908541049222,0.14294775,0.15976977725941027,0.6902264952659607,0.6718605160713196,0.6805174350738525,0.6902265666402109,0.6718604871622261,0.680517431217205,0.05270949503307681,0.01310618048586839,1.126791971965594
8,en-zh.Online-G.1562,0.16949267034678453,0.12812544,0.14593415253544811,0.6582559943199158,0.6314876079559326,0.6444427371025085,0.6582559891654591,0.6314876635699456,0.6444427028445499,0.00561951651507218,0.003968599305335955,1.1707550175215036
9,en-zh.Online-Z.1638,0.19430097584876174,0.11984085,0.148246381322191,0.6320653557777405,0.5975353717803955,0.6143155097961426,0.6320653880390698,0.5975353504059513,0.6143154884427156,0.008929485786439135,0.004926208316950298,1.9120739088881809
10,en-zh.OPPO.1147,0.18523309092544185,0.15548475,0.16906024552949897,0.7055750489234924,0.7105315923690796,0.7076303958892822,0.7055750557855928,0.7105316007339063,0.7076304800419613,0.05520401394402941,0.0032276353016450466,1.1287034087288945
11,en-zh.SJTU-NICT.706,0.18772704588971242,0.1558596,0.1703154828097559,0.7313486337661743,0.7129849791526794,0.721782386302948,0.7313485755171358,0.7129849098696359,0.7217823604833761,0.05708468447387912,0.0038574394420007397,1.0532016565785283
12,en-zh.Tencent_Translation.1332,0.19104243023126766,0.15521072,0.1712725673118178,0.7370892763137817,0.7154335975646973,0.7259096503257751,0.7370893335855225,0.7154335728485258,0.7259096503678094,0.058320372495908386,0.06067919483192427,1.0057343102899012
13,en-zh.zlabs-nlp.322,0.19226658209698413,0.11350688,0.1427434553763425,0.6168776154518127,0.5800536274909973,0.5978107452392578,0.6168775939796717,0.5800536452898984,0.5978107523332036,0.01987217146605876,0.006306782618120973,1.1627906976744187
