,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,iu-en.CUNI-Transfer.375,0.1953568743782777,0.11500239,0.14477742727732365,0.6096220016479492,0.587151050567627,0.5983598828315735,0.6096221011270556,0.5871510932777309,0.5983598717364214,0.42221420849378066,0.2615056791982396,0.6761553799045789
1,iu-en.Facebook_AI.729,0.22566573728567002,0.13527264,0.16915020147111662,0.6372422575950623,0.6198028922080994,0.628567636013031,0.637242294839188,0.6198028604832588,0.6285676739679524,0.43708171586455163,0.2792631403058359,0.6478850672933134
2,iu-en.Groningen.1301,0.18832201742301619,0.10866656,0.13781207457579858,0.586529552936554,0.5738197565078735,0.5801580548286438,0.5865295479832408,0.5738197177637886,0.5801580597596222,0.41918217485241316,0.2662008130860745,0.6986220892971587
3,iu-en.Helsinki.994,0.19314676265846464,0.09359644,0.12609086928316288,0.5881587862968445,0.5414569973945618,0.5647494196891785,0.5881588027235127,0.5414569767585256,0.5647494841489417,0.3832871307121386,0.23048485612350397,0.7027700633767714
4,iu-en.Human-A.0,0.3970828096091158,0.39734432,0.39721352226833495,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998252386197,0.9999998252386197,0.9999998252787441,0.7811302210602772,1.0000000000000004,0.0
5,iu-en.NICT_Kyoto.1220,0.17702755379498378,0.09358223,0.12243927600472769,0.5473625659942627,0.5408865213394165,0.5439651608467102,0.5473625725008251,0.5408864950313562,0.5439651324961507,0.39676117454516946,0.23402819950091625,0.7250587481307413
6,iu-en.NiuTrans.1206,0.21033378564531854,0.12076514,0.15343444142556345,0.6354734897613525,0.5975694060325623,0.6165733933448792,0.6354734536121812,0.59756942022042,0.6165733412252968,0.42322662238064596,0.2905579204809592,0.6596881008331553
7,iu-en.NRC.985,0.19910891077440132,0.12419893,0.15297564961903354,0.6199432015419006,0.5988172292709351,0.6093969345092773,0.6199431649574062,0.5988171879077993,0.6093969204460243,0.4332579971883622,0.2800332287559631,0.6556647440005697
8,iu-en.OPPO.191,0.18707699943774192,0.09183762,0.12319688870352707,0.552061140537262,0.5301985144615173,0.5411725640296936,0.5520610881489957,0.5301985501384445,0.5411725913280874,0.3747686826435578,0.23642607070120544,0.7497507655059459
9,iu-en.SRPOL.385,0.1885592614620073,0.10568172,0.13544861534610653,0.5902639031410217,0.5683709383010864,0.5793870687484741,0.5902638967938594,0.5683709169529223,0.5793870689804427,0.41654280775654456,0.2564567137277577,0.6821904151534572
10,iu-en.UEDIN.1282,0.17310055035017619,0.088978834,0.11753908247750024,0.5410115718841553,0.528007984161377,0.5345157980918884,0.54101163672651,0.5280079698377862,0.5345157498742373,0.3901601160988118,0.2299696424608094,0.7322153386028626
11,iu-en.UQAM_TanLe.520,0.194188998062834,0.09904436,0.13118101697284099,0.5944589376449585,0.5412143468856812,0.5661072731018066,0.5944589660183132,0.5381924277913636,0.5661073109018734,0.39769035908656897,0.2984836074095679,0.6597415082247383
