,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,ja-en.eTranslation.269,0.24820391244918158,0.15262516,0.1890190318645296,0.589065670967102,0.558388888835907,0.5739249587059021,0.5890656124541587,0.5583889041539593,0.573924961883466,0.43955127933355725,0.22218390971895055,0.6979077099455432
1,ja-en.Human-A.0,0.4299292862530284,0.4302655,0.43009732054622035,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998678253497,0.9999998678253497,0.9999998679453993,0.8420816865555073,1.0000000000000004,0.0
2,ja-en.NICT_Kyoto.1230,0.24377311352947673,0.1540322,0.18878032940547568,0.5793007016181946,0.5614488124847412,0.5703851580619812,0.5793007263746807,0.5614487972578985,0.5703850941805682,0.45195946609078097,0.22802012895762136,0.7174794251320477
3,ja-en.NiuTrans.1352,0.26294140919673803,0.17453443,0.2098050868073274,0.6157981157302856,0.599375307559967,0.6079522371292114,0.6157981353659044,0.5993752968492885,0.6079522590457733,0.4819545148476658,0.2656019511293655,0.671006837816812
4,ja-en.Online-A.1581,0.23946626363145515,0.15266538,0.18645884993088488,0.5732590556144714,0.55655837059021,0.5652791261672974,0.5732590472761507,0.5565583741494942,0.5652790606952266,0.4455895016101688,0.22132853242716505,0.7048683617901159
5,ja-en.Online-B.1599,0.23904815098483,0.15177202,0.18566503867700018,0.5745213031768799,0.5527403950691223,0.564019501209259,0.5745212962515165,0.5527403793538745,0.5640194609851276,0.4426059811463153,0.2137531839726337,0.6980305449780944
6,ja-en.Online-G.1564,0.13548411582965098,0.1029345,0.11698742425239755,0.3997911810874939,0.441079318523407,0.419584184885025,0.3997911858364887,0.4410793068474074,0.41958418797724106,0.3694507774712774,0.15806539538972242,0.7896654792613521
7,ja-en.Online-Z.1640,0.16394715600892037,0.08137223,0.10876226326877267,0.39785510301589966,0.38585710525512695,0.39238080382347107,0.397855125858655,0.3858571241015131,0.39238075962477625,0.3586568149577807,0.11566159813957455,0.8108340498710233
8,ja-en.OPPO.1529,0.2629152724787873,0.17266974,0.20844386380281874,0.6003369092941284,0.5914030075073242,0.5962375402450562,0.600336946040572,0.5914029853187749,0.5962375319166126,0.4679532114301156,0.24776020110758373,0.6904557179707652
9,ja-en.Tohoku-AIP-NTT.1429,0.26517593884652474,0.17940016,0.21401333146057364,0.6137480735778809,0.60638827085495,0.6104640364646912,0.6137480379831635,0.606388243723732,0.610464028976595,0.4789524942466636,0.2547401747832204,0.6713753429144659
10,ja-en.zlabs-nlp.66,0.19433550207112624,0.087723576,0.1208810951195925,0.46357831358909607,0.40630653500556946,0.435148149728775,0.46357830083476004,0.4063065628430169,0.43514813260433616,0.3412954586101925,0.1401655484120109,0.8092371944478566
