,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,pl-en.CUNI-Transformer.245,0.22598923700595142,0.121810295,0.15829702485164643,0.7152565121650696,0.6855691075325012,0.7004815936088562,0.7152565067390224,0.6855690645446608,0.7004816015878995,0.4990115994624981,0.31898057885573233,0.5383409945674885
1,pl-en.Human-A.0,0.30046680527721376,0.30059296,0.30052986886328154,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998381564191,0.9999998381564191,0.9999998382159642,0.8025527267132947,1.0000000000000004,0.0
2,pl-en.Huoshan_Translate.1523,0.22048526134301208,0.122854665,0.1577890645994573,0.7185551524162292,0.694567084312439,0.7066494226455688,0.7185551045196397,0.6945671362897287,0.7066494721126604,0.5104791481338057,0.34443707209194313,0.5228792310906811
3,pl-en.NICT_Kyoto.1234,0.22739366180452572,0.12112316,0.15805629329196327,0.7110595703125,0.6829057335853577,0.6970455050468445,0.7110596100737403,0.6829056353954883,0.6970455599176538,0.49899112868101864,0.3184858268683816,0.5492582532386127
4,pl-en.NICT-Rui.1492,0.22258688021492068,0.12538381,0.16040886068582239,0.7240124344825745,0.7007445096969604,0.7124881148338318,0.7240124643667714,0.7007444723510182,0.7124882052381794,0.5156135434061763,0.34554339736337836,0.5217300459674049
5,pl-en.Online-A.1582,0.21428239974749527,0.114365496,0.1491353707853129,0.695684015750885,0.6721571683883667,0.6840298771858215,0.6956840389958033,0.6721571724076609,0.6840299155849677,0.4997655007849125,0.31793643472041194,0.5415273715002089
6,pl-en.Online-B.1601,0.22573684384664727,0.1287273,0.16395731531340157,0.7192755341529846,0.6971216797828674,0.7083208560943604,0.7192755389984671,0.6971216507695176,0.7083208678173019,0.5123733002246609,0.33915558957257347,0.5195361470956957
7,pl-en.Online-G.1566,0.2234034692606031,0.117175594,0.15372309711339233,0.6957313418388367,0.6704753041267395,0.6832546591758728,0.69573131916704,0.6704753062833886,0.6832547218396471,0.48394222757685923,0.29855746009183376,0.5494671959882992
8,pl-en.Online-Z.1642,0.1897403270744261,0.11133511,0.14032868856619324,0.6404247879981995,0.642411470413208,0.6414032578468323,0.6404248266790219,0.6424114697107619,0.6414032716687386,0.4750127556681817,0.28639867432924665,0.5730777267028834
9,pl-en.OPPO.733,0.2207219900726255,0.11323127,0.14967742172675197,0.697687029838562,0.6630588173866272,0.6803975105285645,0.697687026801762,0.6630587754377442,0.6803975324969846,0.49704215057248324,0.3246427664944925,0.5425720852486419
10,pl-en.PROMT_NMT.1424,0.2166357758524476,0.11480013,0.1500731525426751,0.6936919093132019,0.6662247776985168,0.6801117658615112,0.6936919475895363,0.6662248538715856,0.6801117174066864,0.48976014671778273,0.31187609031414554,0.5473255328040117
11,pl-en.SJTU-NICT.331,0.2235107144712017,0.120666154,0.156722782524519,0.7065184116363525,0.6878767013549805,0.6973442435264587,0.7065183743387907,0.6878766762976583,0.697344261300671,0.5012103870034825,0.32162557063959796,0.545653990806519
12,pl-en.SRPOL.1506,0.22777608660040738,0.13073309,0.16612055274541748,0.7265428900718689,0.7078940868377686,0.7173792719841003,0.7265429164652343,0.7078940563190442,0.717379283092983,0.5161153267586941,0.3425654669965352,0.5229314667781028
13,pl-en.Tilde.1310,0.22495297587356414,0.11887353,0.15554911411509015,0.6971546411514282,0.6807733178138733,0.6891111731529236,0.6971547333942307,0.6807732804214115,0.6891111808789002,0.49728384372755374,0.3019673161590943,0.5442958629335563
14,pl-en.zlabs-nlp.1162,0.21402709621750535,0.10709675,0.1427586658335948,0.6531805396080017,0.6321462988853455,0.6428004503250122,0.6531805868551775,0.63214630181422,0.6428004095887209,0.46969619774420535,0.2777118243048439,0.5898453823652319
